"Perioden","Regio.s","Bouwen.en.wonen.Woningvoorraad.Voorraad.op.1.januari..aantal.","Bouwen.en.wonen.Woningvoorraad.Nieuwbouw..aantal.","Bouwen.en.wonen.Woningvoorraad.Saldo.voorraad..relatief..per.1.000.woningen.","Bouwen.en.wonen.Woningvoorraad.Woningdichtheid..aantal.woningen.per.km..","Bouwen.en.wonen.Woningvoorraad.Woningen.naar.eigendom.Koopwoningen....","Bouwen.en.wonen.Woningvoorraad.Woningen.naar.eigendom.Huurwoningen.van.woningcorporatie....","Bouwen.en.wonen.Woningvoorraad.Woningen.naar.eigendom.Huurwoningen.van.overige.verhuurders....","Bouwen.en.wonen.Woningvoorraad.Woningen.naar.eigendom.Eigendom.onbekend....","Bouwen.en.wonen.Gemiddelde.WOZ.waarde.van.woningen..1.000.euro."
2005,"Flevoland (PV)",139841,1786,"12,7",99,"","","","",180
2006,"Flevoland (PV)",141615,2095,"14,2",100,"62,6","","","1,5",180
2007,"Flevoland (PV)",143619,2260,"15,1",101,"63,4","","","1,6",191
2008,"Flevoland (PV)",145871,2785,"19,1",103,"63,5","","","1,8",199
2009,"Flevoland (PV)",148663,2677,"17,6",105,"64,1","28","7,7","0,2",203
2010,"Flevoland (PV)",151282,2633,"17",107,"63,6","27,9","8,4","0,1",203
2011,"Flevoland (PV)",153853,1899,"12,1",109,"63,4","27,9","8,6","0,1",201
2012,"Flevoland (PV)",158061,1148,"9,1",112,"64,2","27,2","7,6","1",197
2013,"Flevoland (PV)",159496,1134,"12,6",113,"64,3","26,9","8,3","0,5",191
2014,"Flevoland (PV)",161512,1005,"7,5",114,"64","26,6","8,9","0,5",183
2015,"Flevoland (PV)",162731,1108,"1,1",115,"64","26,5","8,9","0,6",179
2016,"Flevoland (PV)",162918,1339,"8",115,"64,3","26,6","8,6","0,5",180
2017,"Flevoland (PV)",164229,2246,"13,7",116,"64,1","26,3","9,1","0,4",185
2018,"Flevoland (PV)",166487,2570,"16,5",118,"63,9","26","9,6","0,5",194
2019,"Flevoland (PV)",169237,2767,"17,7",120,"65,4","26,4","8,1","0,2",218
2020,"Flevoland (PV)",172227,2596,"14,1",122,"65,1","26,1","8,7","0",241
2021,"Flevoland (PV)",174659,3001,"19,1",124,"64,9","25,9","9,1","0,1",262
2022,"Flevoland (PV)",178000,2820,"17,8",126,"64,8","25,9","9,2","0",292
2023,"Flevoland (PV)",181165,3004,"18",128,"64,5","25,5","9,9","0",347
2024,"Flevoland (PV)",184426,2611,"15",131,"64,3","25,4","10,3","0",361
2025,"Flevoland (PV)",187199,NA,"",133,"","","","",379
2005,"Gelderland (PV)",775955,7413,"8,6",156,"","","","",220
2006,"Gelderland (PV)",782626,8323,"8,6",157,"57,3","","","2,8",220
2007,"Gelderland (PV)",789382,8650,"9,6",159,"58","","","3",236
2008,"Gelderland (PV)",799507,10078,"10",161,"58,5","","","2,9",251
2009,"Gelderland (PV)",807540,11328,"11,6",162,"59,1","29,5","10,7","0,7",259
2010,"Gelderland (PV)",816894,6498,"6,5",164,"58,6","29,2","11,3","0,9",260
2011,"Gelderland (PV)",822186,7163,"8,8",165,"58,3","28,7","12,3","0,7",252
2012,"Gelderland (PV)",845200,6987,"17,3",170,"60","28","10,4","1,5",245
2013,"Gelderland (PV)",859853,6114,"11,1",173,"59,6","27,9","11,1","1,4",235
2014,"Gelderland (PV)",869410,6974,"9,5",175,"59,2","27,5","11,8","1,5",220
2015,"Gelderland (PV)",877662,6714,"9,1",177,"59,1","28","11,5","1,3",214
2016,"Gelderland (PV)",885678,7975,"2,7",178,"59,3","27,7","11,6","1,4",214
2017,"Gelderland (PV)",888062,8313,"6,7",179,"59,4","27,3","12","1,3",217
2018,"Gelderland (PV)",893989,8973,"10,4",180,"60,2","27,3","11,4","1,1",227
2019,"Gelderland (PV)",903256,8830,"10,1",182,"60,9","27,5","11,1","0,4",246
2020,"Gelderland (PV)",912372,9392,"11,1",184,"60,9","27,3","11,6","0,2",263
2021,"Gelderland (PV)",922524,7378,"10,4",186,"60,9","27","11,9","0,1",281
2022,"Gelderland (PV)",932116,7787,"9,4",188,"61","26,8","12,1","0,1",310
2023,"Gelderland (PV)",940880,9030,"10,3",190,"60,9","26,6","12,3","0,1",364
2024,"Gelderland (PV)",950604,7312,"8,2",192,"61","26,5","12,4","0",380
2025,"Gelderland (PV)",958416,NA,"",193,"","","","",398
2005,"Utrecht (PV)",476026,6587,"13,4",343,"","","","",231
2006,"Utrecht (PV)",482424,5652,"10,2",348,"55,6","","","2,8",232
2007,"Utrecht (PV)",487337,6264,"12,3",352,"56,6","","","3,2",249
2008,"Utrecht (PV)",494230,6482,"11,8",357,"57,2","","","2,9",269
2009,"Utrecht (PV)",500082,6438,"12,2",361,"57,3","30,6","11,5","0,6",283
2010,"Utrecht (PV)",506189,3465,"7,2",366,"57,1","30,4","11,9","0,5",286
2011,"Utrecht (PV)",509851,4630,"7,8",369,"56,8","29,7","12,9","0,7",279
2012,"Utrecht (PV)",528126,5692,"12,2",382,"57,5","29","11,7","1,7",274
2013,"Utrecht (PV)",534595,3763,"8,4",387,"57,5","28,8","12,5","1,1",264
2014,"Utrecht (PV)",539078,3503,"8,2",390,"57,2","28,4","13,2","1,2",248
2015,"Utrecht (PV)",543473,3987,"8,5",393,"57,2","28,6","12,9","1,3",240
2016,"Utrecht (PV)",548114,5441,"11,3",397,"57,3","28,1","13,4","1,2",241
2017,"Utrecht (PV)",554305,5783,"5,9",402,"57,2","27,7","13,8","1,3",255
2018,"Utrecht (PV)",557564,5598,"12",405,"57,4","27,6","13,9","1,2",274
2019,"Utrecht (PV)",578906,6018,"12,1",390,"58,6","27,7","13,4","0,3",301
2020,"Utrecht (PV)",585924,6344,"13,4",394,"58,4","27,4","14,1","0,2",326
2021,"Utrecht (PV)",593799,6279,"12,3",400,"58","27,3","14,6","0,2",349
2022,"Utrecht (PV)",601096,6728,"11,9",405,"58","27,1","14,8","0,1",382
2023,"Utrecht (PV)",608220,5940,"10,5",410,"57,8","26,9","15,3","0,1",447
2024,"Utrecht (PV)",614583,5086,"8,9",414,"57,8","26,8","15,4","0,1",450
2025,"Utrecht (PV)",620065,NA,"",418,"","","","",480
2005,"Noord-Holland (PV)",1166013,10749,"6,7",437,"","","","",220
2006,"Noord-Holland (PV)",1173826,11716,"7,4",439,"44,8","","","3,5",221
2007,"Noord-Holland (PV)",1182501,14947,"9,7",443,"45,8","","","5,3",230
2008,"Noord-Holland (PV)",1196684,12558,"9,2",448,"46,6","","","5,1",251
2009,"Noord-Holland (PV)",1207743,13442,"8,9",453,"47,4","34,4","16,9","1,2",267
2010,"Noord-Holland (PV)",1218453,9895,"6,1",457,"47","36,2","15,7","1,1",269
2011,"Noord-Holland (PV)",1225878,9462,"7",460,"47,3","35,2","16,5","1",262
2012,"Noord-Holland (PV)",1253527,8060,"7,4",470,"49,5","34,5","14,9","1,1",258
2013,"Noord-Holland (PV)",1262792,7833,"12,5",474,"49,7","34,1","15,3","0,9",248
2014,"Noord-Holland (PV)",1278533,7793,"7,1",480,"49,5","33,6","15,9","1",235
2015,"Noord-Holland (PV)",1287671,10168,"9,6",483,"49,7","33,8","15,7","0,8",232
2016,"Noord-Holland (PV)",1300094,10822,"5,6",488,"49,8","33","16,3","0,9",240
2017,"Noord-Holland (PV)",1307353,10944,"8,4",491,"49,8","32,6","16,7","0,8",260
2018,"Noord-Holland (PV)",1318336,13968,"12",495,"50,4","32,3","16,5","0,8",288
2019,"Noord-Holland (PV)",1334098,13876,"11",501,"50,8","32,5","16,5","0,3",318
2020,"Noord-Holland (PV)",1348750,10649,"8,2",506,"50,5","32","17,4","0,2",350
2021,"Noord-Holland (PV)",1359800,14608,"12,6",510,"50,3","31,8","17,7","0,2",368
2022,"Noord-Holland (PV)",1376949,14113,"11",517,"50,3","31,6","18","0,2",394
2023,"Noord-Holland (PV)",1392041,11003,"9,3",523,"50,1","31,4","18,4","0,1",460
2024,"Noord-Holland (PV)",1405035,14929,"10,7",528,"50,3","31,2","18,5","0,1",461
2025,"Noord-Holland (PV)",1420068,NA,"",533,"","","","",480
2005,"Zuid-Holland (PV)",1508403,15749,"7,6",535,"","","","",186
2006,"Zuid-Holland (PV)",1519931,15670,"6,8",540,"47,6","","","4,3",187
2007,"Zuid-Holland (PV)",1530254,16090,"6",544,"48,4","","","5",203
2008,"Zuid-Holland (PV)",1540715,17038,"7,8",547,"49,4","","","4,6",217
2009,"Zuid-Holland (PV)",1552666,19582,"9,6",553,"50,1","36,3","12,7","0,9",225
2010,"Zuid-Holland (PV)",1567536,13161,"7,2",558,"49,9","36,3","12,9","0,9",226
2011,"Zuid-Holland (PV)",1578881,12067,"5,4",562,"49,4","35,3","14,5","0,9",221
2012,"Zuid-Holland (PV)",1605453,10070,"8,2",572,"51,1","35","12,9","1",217
2013,"Zuid-Holland (PV)",1618648,10911,"10,8",577,"51,1","34,8","13,3","0,8",210
2014,"Zuid-Holland (PV)",1636097,8434,"6,9",583,"50,9","34,3","13,8","1,1",199
2015,"Zuid-Holland (PV)",1647422,9968,"6",587,"51","34,4","13,5","1,1",194
2016,"Zuid-Holland (PV)",1657234,11090,"5,7",589,"51,1","33,7","14,1","1,1",197
2017,"Zuid-Holland (PV)",1666690,13216,"6,6",592,"51,2","33,5","14,3","1",203
2018,"Zuid-Holland (PV)",1677634,11336,"7,5",598,"51,3","33,1","14,5","1,1",214
2019,"Zuid-Holland (PV)",1675517,13565,"10,4",621,"52,2","33,1","14,2","0,4",236
2020,"Zuid-Holland (PV)",1692888,15326,"9,9",627,"52,1","32,8","14,9","0,2",261
2021,"Zuid-Holland (PV)",1709692,13562,"8,4",633,"51,9","32,5","15,4","0,2",282
2022,"Zuid-Holland (PV)",1724095,14547,"8,8",639,"52","32,2","15,7","0,2",311
2023,"Zuid-Holland (PV)",1739228,17284,"10,6",645,"52","31,9","16","0,1",359
2024,"Zuid-Holland (PV)",1757694,14780,"9",651,"52,1","31,7","16,1","0,1",373
2025,"Zuid-Holland (PV)",1773459,NA,"",657,"","","","",390
2005,"Zeeland (PV)",168002,1676,"9,7",94,"","","","",158
2006,"Zeeland (PV)",169631,1686,"7,3",95,"64,6","","","3",159
2007,"Zeeland (PV)",170863,1489,"8,5",96,"65,1","","","3",181
2008,"Zeeland (PV)",173073,1570,"8,2",97,"65,4","","","3,2",194
2009,"Zeeland (PV)",174495,1488,"7,8",98,"65,9","24,2","9,4","0,5",199
2010,"Zeeland (PV)",175849,954,"3,6",98,"65","24,4","10,2","0,5",200
2011,"Zeeland (PV)",176488,1251,"6,4",99,"64,3","24,1","11,2","0,4",198
2012,"Zeeland (PV)",181244,1145,"-4,8",102,"65,3","23,8","10,2","0,7",198
2013,"Zeeland (PV)",180369,866,"11,1",101,"65,3","24","10,2","0,5",194
2014,"Zeeland (PV)",182368,857,"1,6",102,"64,5","23,7","10,7","1,1",188
2015,"Zeeland (PV)",182668,989,"5,2",102,"64,8","23,6","10,6","1",185
2016,"Zeeland (PV)",183611,1073,"4",103,"64,8","23,4","10,5","1,2",186
2017,"Zeeland (PV)",184354,1163,"4,9",103,"64,6","23,2","11","1,2",190
2018,"Zeeland (PV)",185264,1251,"6,8",104,"65,3","23","10,5","1,2",194
2019,"Zeeland (PV)",186528,1369,"5,8",105,"66,4","22,7","9,5","1,4",205
2020,"Zeeland (PV)",187611,1542,"5,1",105,"66,2","22,5","10,2","1,1",215
2021,"Zeeland (PV)",188560,1281,"4,4",106,"66,3","22,1","10,4","1,2",228
2022,"Zeeland (PV)",189397,1565,"6,2",106,"66,7","21,8","10,4","1,1",248
2023,"Zeeland (PV)",190578,1924,"9,3",107,"66,8","21,8","10,5","1",281
2024,"Zeeland (PV)",192356,1545,"5,7",108,"66,9","21,5","10,7","0,9",304
